goal1,goal2
23.5169762702,-0.69314718056,
23.699297827,0.223143551314,
23.8816193839,0.864997437487,
23.6584758326,1.40179854766,
23.4353322814,1.88612223068,
23.2121887304,2.3409039573,
22.7659016285,2.77794544311,
22.3196145277,3.20392080392,
21.8733274295,3.62282937448,
21.4270403374,4.03715742554,
20.9807532598,4.44848782108,
20.5344662162,4.85784409557,
20.0881792526,4.85784409557,
19.4187490676,5.26589492822,
18.7493197908,5.67308014571,
18.0798931786,6.07969035184,
17.4104743789,6.4859181308,
16.7410784797,6.89189136319,
15.8486447857,7.29769507744,
14.9565851682,7.70338585929,
14.0658936422,8.10900138828,
13.180185028,8.5145667644,
12.312361145,8.92009871226,
11.3102599795,9.32560837773,
10.5944336644,9.73110318964,
10.3985496923,10.1365880998,
10.6054195912,10.542066409,
10.9617149373,10.9475403178,
11.3554943691,11.353011293,
11.7589089351,11.7584803125,
12.1640191007,12.1639480281,
12.5694247305,12.5694148746,
12.9748811539,12.9748811416,
13.3803458029,13.3803470224,
13.7858116609,13.7858126455,
14.1912774166,14.191278097,
14.5967429771,14.5967434341,
15.0022083897,15.0022086948,
15.4076737012,15.4076739046,
15.8131389449,15.8131390806,
16.2186041435,16.2186042339,
16.6240693119,16.6240693721,
17.0295344602,17.0295345003,
17.4349995951,17.4349996219,
17.840464721,17.8404647389,
18.245929841,18.245929853,
18.6513949571,18.651394965,
19.0568600705,19.0568600758,
19.4623251821,19.4623251857,
19.8677902926,19.8677902949,
