pre,post,weight
1_I_3_1,6_T_2_1,3
1_V_1_1,6_T_2_1,3
1_I_1_1,6_T_2_4,3
1_V_1_1,6_T_2_4,3
6_T_2_1,6_T_3_1,19.483922210313743
1_I_3_1,6_T_3_1,3
1_V_1_1,6_T_3_1,3
6_T_2_4,6_T_3_4,19.483922210313743
1_I_1_1,6_T_3_4,3
1_V_1_1,6_T_3_4,3
6_T_3_1,6_T_4_1,21.393291922677292
6_T_2_1,6_T_4_1,7.870152277332055
1_I_3_1,6_T_4_1,3
1_V_1_1,6_T_4_1,3
6_T_3_4,6_T_4_4,21.393291922677292
6_T_2_4,6_T_4_4,7.870152277332055
1_I_1_1,6_T_4_4,3
1_V_1_1,6_T_4_4,3
6_T_4_1,6_T_5_1,28.73667801815746
6_T_3_1,6_T_5_1,8.754392970613159
6_T_2_1,6_T_5_1,3.220561193824372
1_I_3_1,6_T_5_1,3
1_V_1_1,6_T_5_1,3
6_T_4_4,6_T_5_6,28.73667801815746
6_T_3_4,6_T_5_6,8.754392970613159
6_T_2_4,6_T_5_6,3.220561193824372
1_I_1_1,6_T_5_6,3
1_V_1_1,6_T_5_6,3
