pre,post,weight
1_I_1_1,6_N_1_1,3
1_V_1_1,6_N_1_1,3
1_I_3_1,6_N_1_1,3
1_V_1_1,6_N_1_1,3
6_N_1_1,6_N_2_50,26.83093809326269
1_I_1_1,6_N_2_50,3
1_V_1_1,6_N_2_50,3
6_N_1_1,6_N_2_52,26.83093809326269
1_I_3_1,6_N_2_52,3
1_V_1_1,6_N_2_52,3
6_N_2_50,6_N_3_52,19.483922210313743
6_N_1_1,6_N_3_52,9.870550511855043
1_I_1_1,6_N_3_52,3
1_V_1_1,6_N_3_52,3
6_N_2_52,6_N_3_54,19.483922210313743
6_N_1_1,6_N_3_54,9.870550511855043
1_I_3_1,6_N_3_54,3
1_V_1_1,6_N_3_54,3
6_N_3_52,6_N_4_54,21.393291922677292
6_N_2_50,6_N_4_54,7.870152277332055
6_N_1_1,6_N_4_54,3.9870173341318296
1_I_1_1,6_N_4_54,3
1_V_1_1,6_N_4_54,3
6_N_3_54,6_N_4_56,21.393291922677292
6_N_2_52,6_N_4_56,7.870152277332055
6_N_1_1,6_N_4_56,3.9870173341318296
1_I_3_1,6_N_4_56,3
1_V_1_1,6_N_4_56,3
6_N_4_54,6_N_5_55,28.73667801815746
6_N_3_52,6_N_5_55,8.754392970613159
6_N_2_50,6_N_5_55,3.220561193824372
6_N_1_1,6_N_5_55,1.631535560295781
1_I_1_1,6_N_5_55,3
1_V_1_1,6_N_5_55,3
6_N_4_56,6_N_5_57,28.73667801815746
6_N_3_54,6_N_5_57,8.754392970613159
6_N_2_52,6_N_5_57,3.220561193824372
6_N_1_1,6_N_5_57,1.631535560295781
1_I_3_1,6_N_5_57,3
1_V_1_1,6_N_5_57,3
