1_N_1_49,1_I_14_1,1,0,2
1_T_1_1,1_I_14_1,1,0,2
1_T_1_2,1_I_14_1,1,0,2
1_N_2_49,1_I_14_1,1,0,2
1_T_2_6,1_I_14_1,1,0,2
1_N_3_51,1_I_14_1,1,0,2
1_T_3_1,1_I_14_1,1,0,2
1_N_4_53,1_I_14_1,1,0,2
1_T_4_1,1_I_14_1,1,0,2
1_N_5_54,1_I_14_1,1,0,2
1_T_5_1,1_I_14_1,1,0,2
1_N_6_56,1_I_14_1,1,0,2
1_T_6_1,1_I_14_1,1,0,2
1_N_7_58,1_I_14_1,1,0,2
1_T_7_1,1_I_14_1,1,0,2
1_N_8_59,1_I_14_1,1,0,2
1_T_8_1,1_I_14_1,1,0,2
1_N_9_61,1_I_14_1,1,0,2
1_T_9_1,1_I_14_1,1,0,2
1_N_10_63,1_I_14_1,1,0,2
1_T_10_1,1_I_14_1,1,0,2
1_N_11_65,1_I_14_1,1,0,2
1_T_11_1,1_I_14_1,1,0,2
1_N_12_66,1_I_14_1,1,0,2
1_T_12_1,1_I_14_1,1,0,2
1_N_13_68,1_I_14_1,1,0,2
1_T_13_1,1_I_14_1,1,0,2
1_N_14_70,1_I_14_1,1,0,2
1_T_14_1,1_I_14_1,1,0,2
1_N_15_71,1_I_14_1,1,0,2
1_T_15_1,1_I_14_1,1,0,2
1_N_16_73,1_I_14_1,1,0,2
1_T_16_1,1_I_14_1,1,0,2
1_N_17_75,1_I_14_1,1,0,2
1_T_17_1,1_I_14_1,1,0,2
1_N_18_77,1_I_14_1,1,0,2
1_T_18_1,1_I_14_1,1,0,2
1_N_19_78,1_I_14_1,1,0,2
1_T_19_1,1_I_14_1,1,0,2
1_N_20_80,1_I_14_1,1,0,2
1_T_20_1,1_I_14_1,1,0,2
1_N_21_82,1_I_14_1,1,0,2
1_T_21_1,1_I_14_1,1,0,2
1_N_22_83,1_I_14_1,1,0,2
1_T_22_1,1_I_14_1,1,0,2
1_N_23_85,1_I_14_1,1,0,2
1_T_23_1,1_I_14_1,1,0,2
1_N_24_87,1_I_14_1,1,0,2
1_T_24_1,1_I_14_1,1,0,2
2_N_1_37,1_I_14_1,1,0,2
2_T_1_1,1_I_14_1,1,0,2
2_T_1_2,1_I_14_1,1,0,2
2_N_2_37,1_I_14_1,1,0,2
2_T_2_6,1_I_14_1,1,0,2
2_N_3_39,1_I_14_1,1,0,2
2_T_3_1,1_I_14_1,1,0,2
2_N_4_41,1_I_14_1,1,0,2
2_T_4_1,1_I_14_1,1,0,2
2_N_5_42,1_I_14_1,1,0,2
2_T_5_1,1_I_14_1,1,0,2
2_N_6_44,1_I_14_1,1,0,2
2_T_6_1,1_I_14_1,1,0,2
2_N_7_46,1_I_14_1,1,0,2
2_T_7_1,1_I_14_1,1,0,2
2_N_8_47,1_I_14_1,1,0,2
2_T_8_1,1_I_14_1,1,0,2
2_N_9_49,1_I_14_1,1,0,2
2_T_9_1,1_I_14_1,1,0,2
2_N_10_51,1_I_14_1,1,0,2
2_T_10_1,1_I_14_1,1,0,2
2_N_11_53,1_I_14_1,1,0,2
2_T_11_1,1_I_14_1,1,0,2
2_N_12_54,1_I_14_1,1,0,2
2_T_12_1,1_I_14_1,1,0,2
2_N_13_56,1_I_14_1,1,0,2
2_T_13_1,1_I_14_1,1,0,2
2_N_14_58,1_I_14_1,1,0,2
2_T_14_1,1_I_14_1,1,0,2
2_N_15_59,1_I_14_1,1,0,2
2_T_15_1,1_I_14_1,1,0,2
2_N_16_61,1_I_14_1,1,0,2
2_T_16_1,1_I_14_1,1,0,2
2_N_17_63,1_I_14_1,1,0,2
2_T_17_1,1_I_14_1,1,0,2
2_N_18_65,1_I_14_1,1,0,2
