pre,post,weight
1_I_1_1,1_N_1_1,0.6
1_V_1_1,1_N_1_1,0.6
1_I_2_1,1_N_1_1,0.6
1_I_5_1,1_N_1_1,0.6
1_I_6_1,1_N_1_1,0.6
1_I_7_1,1_N_1_1,0.6
1_I_8_1,1_N_1_1,0.6
1_I_10_1,1_N_1_1,0.6
1_I_11_1,1_N_1_1,0.6
1_I_13_1,1_N_1_1,0.6
1_I_15_1,1_N_1_1,0.6
1_V_2_1,1_N_1_1,0.6
1_I_17_1,1_N_1_1,0.6
1_I_18_1,1_N_1_1,0.6
1_V_3_1,1_N_1_1,0.6
1_I_19_1,1_N_1_1,0.6
1_V_4_1,1_N_1_1,0.6
1_I_22_1,1_N_1_1,0.6
1_I_23_1,1_N_1_1,0.6
1_I_25_1,1_N_1_1,0.6
1_I_31_1,1_N_1_1,0.6
1_I_32_1,1_N_1_1,0.6
1_I_33_1,1_N_1_1,0.6
1_I_34_1,1_N_1_1,0.6
1_I_35_1,1_N_1_1,0.6
1_I_36_1,1_N_1_1,0.6
1_I_37_1,1_N_1_1,0.6
1_I_38_1,1_N_1_1,0.6
1_I_39_1,1_N_1_1,0.6
1_I_40_1,1_N_1_1,0.6
1_I_41_1,1_N_1_1,0.6
1_I_44_1,1_N_1_1,0.6
1_I_45_1,1_N_1_1,0.6
1_I_46_1,1_N_1_1,0.6
1_I_47_1,1_N_1_1,0.6
1_I_50_1,1_N_1_1,0.6
1_V_5_1,1_N_1_1,0.6
1_I_51_1,1_N_1_1,0.6
1_I_53_1,1_N_1_1,0.6
1_I_54_1,1_N_1_1,0.6
1_I_55_1,1_N_1_1,0.6
1_V_6_1,1_N_1_1,0.6
1_I_56_1,1_N_1_1,0.6
1_I_57_1,1_N_1_1,0.6
1_I_58_1,1_N_1_1,0.6
1_I_60_1,1_N_1_1,0.6
1_I_62_1,1_N_1_1,0.6
1_I_63_1,1_N_1_1,0.6
1_I_65_1,1_N_1_1,0.6
1_V_7_1,1_N_1_1,0.6
1_I_68_1,1_N_1_1,0.6
1_I_70_1,1_N_1_1,0.6
1_I_71_1,1_N_1_1,0.6
1_I_73_1,1_N_1_1,0.6
1_I_74_1,1_N_1_1,0.6
1_V_8_1,1_N_1_1,0.6
1_I_75_1,1_N_1_1,0.6
1_I_81_1,1_N_1_1,0.6
1_I_84_1,1_N_1_1,0.6
1_I_85_1,1_N_1_1,0.6
1_I_88_1,1_N_1_1,0.6
1_I_89_1,1_N_1_1,0.6
1_I_90_1,1_N_1_1,0.6
1_I_91_1,1_N_1_1,0.6
1_I_92_1,1_N_1_1,0.6
1_I_95_1,1_N_1_1,0.6
1_I_96_1,1_N_1_1,0.6
1_I_98_1,1_N_1_1,0.6
1_I_102_1,1_N_1_1,0.6
1_I_105_1,1_N_1_1,0.6
1_I_106_1,1_N_1_1,0.6
1_I_107_1,1_N_1_1,0.6
1_I_108_1,1_N_1_1,0.6
1_I_109_1,1_N_1_1,0.6
1_I_110_1,1_N_1_1,0.6
1_I_111_1,1_N_1_1,0.6
1_I_112_1,1_N_1_1,0.6
1_I_113_1,1_N_1_1,0.6
1_I_117_1,1_N_1_1,0.6
1_I_119_1,1_N_1_1,0.6
1_I_125_1,1_N_1_1,0.6
1_V_9_1,1_N_1_1,0.6
1_I_133_1,1_N_1_1,0.6
1_I_134_1,1_N_1_1,0.6
1_I_136_1,1_N_1_1,0.6
1_I_137_1,1_N_1_1,0.6
1_I_138_1,1_N_1_1,0.6
1_I_139_1,1_N_1_1,0.6
1_V_10_1,1_N_1_1,0.6
1_I_140_1,1_N_1_1,0.6
1_I_141_1,1_N_1_1,0.6
1_I_144_1,1_N_1_1,0.6
1_I_145_1,1_N_1_1,0.6
1_I_146_1,1_N_1_1,0.6
1_I_147_1,1_N_1_1,0.6
1_I_148_1,1_N_1_1,0.6
1_V_11_1,1_N_1_1,0.6
1_I_149_1,1_N_1_1,0.6
1_I_150_1,1_N_1_1,0.6
1_V_12_1,1_N_1_1,0.6
1_I_158_1,1_N_1_1,0.6
1_V_13_1,1_N_1_1,0.6
1_I_159_1,1_N_1_1,0.6
1_I_160_1,1_N_1_1,0.6
1_I_161_1,1_N_1_1,0.6
1_I_162_1,1_N_1_1,0.6
1_I_163_1,1_N_1_1,0.6
1_I_164_1,1_N_1_1,0.6
1_I_165_1,1_N_1_1,0.6
1_I_166_1,1_N_1_1,0.6
1_I_167_1,1_N_1_1,0.6
1_I_168_1,1_N_1_1,0.6
1_I_169_1,1_N_1_1,0.6
1_V_14_1,1_N_1_1,0.6
1_I_171_1,1_N_1_1,0.6
1_I_172_1,1_N_1_1,0.6
1_I_173_1,1_N_1_1,0.6
1_I_175_1,1_N_1_1,0.6
1_I_176_1,1_N_1_1,0.6
1_I_177_1,1_N_1_1,0.6
1_I_181_1,1_N_1_1,0.6
1_I_183_1,1_N_1_1,0.6
1_I_187_1,1_N_1_1,0.6
1_I_188_1,1_N_1_1,0.6
1_I_190_1,1_N_1_1,0.6
1_V_15_1,1_N_1_1,0.6
1_I_191_1,1_N_1_1,0.6
1_I_192_1,1_N_1_1,0.6
1_I_193_1,1_N_1_1,0.6
1_I_194_1,1_N_1_1,0.6
1_I_195_1,1_N_1_1,0.6
1_I_196_1,1_N_1_1,0.6
1_I_197_1,1_N_1_1,0.6
1_I_198_1,1_N_1_1,0.6
1_I_199_1,1_N_1_1,0.6
1_I_200_1,1_N_1_1,0.6
1_I_201_1,1_N_1_1,0.6
1_I_202_1,1_N_1_1,0.6
1_I_204_1,1_N_1_1,0.6
1_I_205_1,1_N_1_1,0.6
1_I_206_1,1_N_1_1,0.6
1_V_16_1,1_N_1_1,0.6
1_I_207_1,1_N_1_1,0.6
1_I_208_1,1_N_1_1,0.6
1_I_210_1,1_N_1_1,0.6
1_I_211_1,1_N_1_1,0.6
1_I_212_1,1_N_1_1,0.6
1_I_213_1,1_N_1_1,0.6
1_I_214_1,1_N_1_1,0.6
1_I_215_1,1_N_1_1,0.6
1_I_216_1,1_N_1_1,0.6
1_I_217_1,1_N_1_1,0.6
1_I_218_1,1_N_1_1,0.6
1_I_219_1,1_N_1_1,0.6
1_I_220_1,1_N_1_1,0.6
1_I_224_1,1_N_1_1,0.6
1_V_18_1,1_N_1_1,0.6
1_I_226_1,1_N_1_1,0.6
1_I_230_1,1_N_1_1,0.6
1_I_233_1,1_N_1_1,0.6
1_I_234_1,1_N_1_1,0.6
1_I_239_1,1_N_1_1,0.6
1_I_242_1,1_N_1_1,0.6
1_I_244_1,1_N_1_1,0.6
1_V_19_1,1_N_1_1,0.6
1_I_246_1,1_N_1_1,0.6
1_I_247_1,1_N_1_1,0.6
1_I_248_1,1_N_1_1,0.6
1_I_251_1,1_N_1_1,0.6
1_V_20_1,1_N_1_1,0.6
1_I_255_1,1_N_1_1,0.6
1_I_260_1,1_N_1_1,0.6
1_I_263_1,1_N_1_1,0.6
1_V_21_1,1_N_1_1,0.6
1_I_264_1,1_N_1_1,0.6
1_I_265_1,1_N_1_1,0.6
1_I_267_1,1_N_1_1,0.6
1_V_22_1,1_N_1_1,0.6
1_I_268_1,1_N_1_1,0.6
1_I_269_1,1_N_1_1,0.6
1_I_271_1,1_N_1_1,0.6
1_I_277_1,1_N_1_1,0.6
1_I_278_1,1_N_1_1,0.6
1_I_279_1,1_N_1_1,0.6
1_I_281_1,1_N_1_1,0.6
1_I_283_1,1_N_1_1,0.6
1_I_284_1,1_N_1_1,0.6
1_I_287_1,1_N_1_1,0.6
1_I_288_1,1_N_1_1,0.6
1_I_289_1,1_N_1_1,0.6
1_I_291_1,1_N_1_1,0.6
1_I_293_1,1_N_1_1,0.6
1_I_295_1,1_N_1_1,0.6
1_V_23_1,1_N_1_1,0.6
1_I_297_1,1_N_1_1,0.6
1_I_298_1,1_N_1_1,0.6
1_I_299_1,1_N_1_1,0.6
1_I_301_1,1_N_1_1,0.6
1_I_304_1,1_N_1_1,0.6
1_I_305_1,1_N_1_1,0.6
1_I_306_1,1_N_1_1,0.6
1_I_307_1,1_N_1_1,0.6
1_I_308_1,1_N_1_1,0.6
1_I_309_1,1_N_1_1,0.6
1_I_310_1,1_N_1_1,0.6
1_I_311_1,1_N_1_1,0.6
1_I_312_1,1_N_1_1,0.6
1_I_313_1,1_N_1_1,0.6
1_I_314_1,1_N_1_1,0.6
1_I_315_1,1_N_1_1,0.6
1_I_316_1,1_N_1_1,0.6
1_I_317_1,1_N_1_1,0.6
1_I_319_1,1_N_1_1,0.6
1_V_24_1,1_N_1_1,0.6
1_I_320_1,1_N_1_1,0.6
1_V_25_1,1_N_1_1,0.6
1_I_321_1,1_N_1_1,0.6
1_I_322_1,1_N_1_1,0.6
1_I_326_1,1_N_1_1,0.6
1_I_327_1,1_N_1_1,0.6
1_I_328_1,1_N_1_1,0.6
1_I_318_1,1_N_1_47,0.6
1_V_23_1,1_N_1_47,0.6
1_I_203_1,1_N_1_49,0.6
1_V_15_1,1_N_1_49,0.6
1_I_101_1,1_N_1_50,0.6
1_V_8_1,1_N_1_50,0.6
1_I_79_1,1_N_1_53,0.6
1_V_8_1,1_N_1_53,0.6
1_I_104_1,1_N_1_53,0.6
1_I_59_1,1_N_1_54,0.6
1_V_6_1,1_N_1_54,0.6
1_I_115_1,1_N_1_55,0.6
1_V_8_1,1_N_1_55,0.6
1_I_253_1,1_N_1_57,0.6
1_V_20_1,1_N_1_57,0.6
1_I_20_1,1_N_1_58,0.6
1_V_4_1,1_N_1_58,0.6
1_I_24_1,1_N_1_59,0.6
1_V_4_1,1_N_1_59,0.6
1_I_14_1,1_N_1_60,0.6
1_V_1_1,1_N_1_60,0.6
1_I_114_1,1_N_1_60,0.6
1_V_8_1,1_N_1_60,0.6
1_I_121_1,1_N_1_60,0.6
1_I_97_1,1_N_1_61,0.6
1_V_8_1,1_N_1_61,0.6
1_I_42_1,1_N_1_62,0.6
1_V_4_1,1_N_1_62,0.6
1_I_43_1,1_N_1_62,0.6
1_I_48_1,1_N_1_62,0.6
1_V_5_1,1_N_1_62,0.6
1_I_82_1,1_N_1_62,0.6
1_V_8_1,1_N_1_62,0.6
1_I_83_1,1_N_1_62,0.6
1_I_86_1,1_N_1_62,0.6
1_I_254_1,1_N_1_62,0.6
1_V_20_1,1_N_1_62,0.6
1_I_270_1,1_N_1_62,0.6
1_V_22_1,1_N_1_62,0.6
1_I_229_1,1_N_1_63,0.6
1_V_18_1,1_N_1_63,0.6
1_I_259_1,1_N_1_63,0.6
1_V_20_1,1_N_1_63,0.6
1_I_151_1,1_N_1_64,0.6
1_V_12_1,1_N_1_64,0.6
1_I_152_1,1_N_1_64,0.6
1_I_300_1,1_N_1_64,0.6
1_V_23_1,1_N_1_64,0.6
1_I_26_1,1_N_1_65,0.6
1_V_4_1,1_N_1_65,0.6
1_I_77_1,1_N_1_65,0.6
1_V_8_1,1_N_1_65,0.6
1_I_116_1,1_N_1_65,0.6
1_I_49_1,1_N_1_66,0.6
1_V_5_1,1_N_1_66,0.6
1_I_103_1,1_N_1_66,0.6
1_V_8_1,1_N_1_66,0.6
1_I_126_1,1_N_1_66,0.6
1_V_9_1,1_N_1_66,0.6
1_I_274_1,1_N_1_66,0.6
1_V_22_1,1_N_1_66,0.6
1_I_118_1,1_N_1_67,0.6
1_V_8_1,1_N_1_67,0.6
1_I_131_1,1_N_1_67,0.6
1_V_9_1,1_N_1_67,0.6
1_I_132_1,1_N_1_67,0.6
1_I_185_1,1_N_1_67,0.6
1_V_14_1,1_N_1_67,0.6
1_I_231_1,1_N_1_67,0.6
1_V_18_1,1_N_1_67,0.6
1_I_256_1,1_N_1_67,0.6
1_V_20_1,1_N_1_67,0.6
1_I_222_1,1_N_1_68,0.6
1_V_18_1,1_N_1_68,0.6
1_I_250_1,1_N_1_68,0.6
1_V_19_1,1_N_1_68,0.6
1_I_302_1,1_N_1_68,0.6
1_V_23_1,1_N_1_68,0.6
1_I_324_1,1_N_1_68,0.6
1_V_25_1,1_N_1_68,0.6
1_I_27_1,1_N_1_69,0.6
1_V_4_1,1_N_1_69,0.6
1_I_127_1,1_N_1_69,0.6
1_V_9_1,1_N_1_69,0.6
1_I_129_1,1_N_1_69,0.6
1_I_154_1,1_N_1_69,0.6
1_V_13_1,1_N_1_69,0.6
1_I_182_1,1_N_1_69,0.6
1_V_14_1,1_N_1_69,0.6
1_I_189_1,1_N_1_69,0.6
1_I_235_1,1_N_1_69,0.6
1_V_18_1,1_N_1_69,0.6
1_I_243_1,1_N_1_69,0.6
1_V_19_1,1_N_1_69,0.6
1_I_249_1,1_N_1_69,0.6
1_I_276_1,1_N_1_69,0.6
1_V_22_1,1_N_1_69,0.6
1_I_286_1,1_N_1_69,0.6
1_I_303_1,1_N_1_69,0.6
1_V_23_1,1_N_1_69,0.6
1_I_30_1,1_N_1_70,0.6
1_V_4_1,1_N_1_70,0.6
1_I_245_1,1_N_1_70,0.6
1_V_19_1,1_N_1_70,0.6
1_I_275_1,1_N_1_70,0.6
1_V_22_1,1_N_1_70,0.6
1_I_61_1,1_N_1_71,0.6
1_V_6_1,1_N_1_71,0.6
1_I_153_1,1_N_1_71,0.6
1_V_13_1,1_N_1_71,0.6
1_I_209_1,1_N_1_71,0.6
1_V_16_1,1_N_1_71,0.6
1_I_292_1,1_N_1_71,0.6
1_V_22_1,1_N_1_71,0.6
1_I_294_1,1_N_1_71,0.6
1_I_330_1,1_N_1_71,0.6
1_V_25_1,1_N_1_71,0.6
1_I_78_1,1_N_1_72,0.6
1_V_8_1,1_N_1_72,0.6
1_I_120_1,1_N_1_72,0.6
1_I_232_1,1_N_1_72,0.6
1_V_18_1,1_N_1_72,0.6
1_I_240_1,1_N_1_72,0.6
1_I_241_1,1_N_1_72,0.6
1_I_252_1,1_N_1_72,0.6
1_V_20_1,1_N_1_72,0.6
1_I_3_1,1_N_1_73,0.6
1_V_1_1,1_N_1_73,0.6
1_I_9_1,1_N_1_73,0.6
1_I_93_1,1_N_1_73,0.6
1_V_8_1,1_N_1_73,0.6
1_I_94_1,1_N_1_73,0.6
1_I_155_1,1_N_1_73,0.6
1_V_13_1,1_N_1_73,0.6
1_I_223_1,1_N_1_73,0.6
1_V_18_1,1_N_1_73,0.6
1_I_238_1,1_N_1_73,0.6
1_I_296_1,1_N_1_73,0.6
1_V_23_1,1_N_1_73,0.6
1_I_16_1,1_N_1_74,0.6
1_V_2_1,1_N_1_74,0.6
1_I_29_1,1_N_1_74,0.6
1_V_4_1,1_N_1_74,0.6
