pre,post,weight
1_I_3_1,5_T_2_1,3
1_V_1_1,5_T_2_1,3
1_I_2_1,5_T_2_2,3
1_V_1_1,5_T_2_2,3
1_I_1_1,5_T_2_4,3
1_V_1_1,5_T_2_4,3
5_T_2_1,5_T_3_1,19.483922210313743
1_I_3_1,5_T_3_1,3
1_V_1_1,5_T_3_1,3
5_T_2_2,5_T_3_2,19.483922210313743
1_I_2_1,5_T_3_2,3
1_V_1_1,5_T_3_2,3
5_T_2_4,5_T_3_4,19.483922210313743
1_I_1_1,5_T_3_4,3
1_V_1_1,5_T_3_4,3
5_T_3_1,5_T_4_1,21.393291922677292
5_T_2_1,5_T_4_1,7.870152277332055
1_I_3_1,5_T_4_1,3
1_V_1_1,5_T_4_1,3
5_T_3_2,5_T_4_2,21.393291922677292
5_T_2_2,5_T_4_2,7.870152277332055
1_I_2_1,5_T_4_2,3
1_V_1_1,5_T_4_2,3
5_T_3_4,5_T_4_4,21.393291922677292
5_T_2_4,5_T_4_4,7.870152277332055
1_I_1_1,5_T_4_4,3
1_V_1_1,5_T_4_4,3
5_T_4_1,5_T_5_1,28.73667801815746
5_T_3_1,5_T_5_1,8.754392970613159
5_T_2_1,5_T_5_1,3.220561193824372
1_I_3_1,5_T_5_1,3
1_V_1_1,5_T_5_1,3
5_T_4_2,5_T_5_2,28.73667801815746
5_T_3_2,5_T_5_2,8.754392970613159
5_T_2_2,5_T_5_2,3.220561193824372
1_I_2_1,5_T_5_2,3
1_V_1_1,5_T_5_2,3
5_T_4_4,5_T_5_6,28.73667801815746
5_T_3_4,5_T_5_6,8.754392970613159
5_T_2_4,5_T_5_6,3.220561193824372
1_I_1_1,5_T_5_6,3
1_V_1_1,5_T_5_6,3
5_T_5_2,5_T_6_4,32.77026773781488
5_T_4_2,5_T_6_4,10.571633050443436
5_T_3_2,5_T_6_4,3.220561193824372
5_T_2_2,5_T_6_4,1.1847782522425432
1_I_2_1,5_T_6_4,3
1_V_1_1,5_T_6_4,3
