pre,post,weight
1_I_1_1,4_N_1_1,3
1_V_1_1,4_N_1_1,3
1_I_2_1,4_N_1_1,3
1_V_1_1,4_N_1_1,3
1_I_3_1,4_N_1_1,3
1_V_1_1,4_N_1_1,3
4_N_1_1,4_N_2_62,26.83093809326269
1_I_1_1,4_N_2_62,3
1_V_1_1,4_N_2_62,3
4_N_1_1,4_N_2_64,26.83093809326269
1_I_3_1,4_N_2_64,3
1_V_1_1,4_N_2_64,3
4_N_1_1,4_N_2_74,26.83093809326269
1_I_2_1,4_N_2_74,3
1_V_1_1,4_N_2_74,3
4_N_2_62,4_N_3_64,19.483922210313743
4_N_1_1,4_N_3_64,9.870550511855043
1_I_1_1,4_N_3_64,3
1_V_1_1,4_N_3_64,3
4_N_2_64,4_N_3_66,19.483922210313743
4_N_1_1,4_N_3_66,9.870550511855043
1_I_3_1,4_N_3_66,3
1_V_1_1,4_N_3_66,3
4_N_2_74,4_N_3_73,19.483922210313743
4_N_1_1,4_N_3_73,9.870550511855043
1_I_2_1,4_N_3_73,3
1_V_1_1,4_N_3_73,3
4_N_3_64,4_N_4_66,21.393291922677292
4_N_2_62,4_N_4_66,7.870152277332055
4_N_1_1,4_N_4_66,3.9870173341318296
1_I_1_1,4_N_4_66,3
1_V_1_1,4_N_4_66,3
4_N_3_66,4_N_4_68,21.393291922677292
4_N_2_64,4_N_4_68,7.870152277332055
4_N_1_1,4_N_4_68,3.9870173341318296
1_I_3_1,4_N_4_68,3
1_V_1_1,4_N_4_68,3
4_N_3_73,4_N_4_74,21.393291922677292
4_N_2_74,4_N_4_74,7.870152277332055
4_N_1_1,4_N_4_74,3.9870173341318296
1_I_2_1,4_N_4_74,3
1_V_1_1,4_N_4_74,3
4_N_4_74,4_N_5_1,28.73667801815746
4_N_3_73,4_N_5_1,8.754392970613159
4_N_2_74,4_N_5_1,3.220561193824372
4_N_1_1,4_N_5_1,1.631535560295781
1_I_2_1,4_N_5_1,3
1_V_1_1,4_N_5_1,3
4_N_4_66,4_N_5_67,28.73667801815746
4_N_3_64,4_N_5_67,8.754392970613159
4_N_2_62,4_N_5_67,3.220561193824372
4_N_1_1,4_N_5_67,1.631535560295781
1_I_1_1,4_N_5_67,3
1_V_1_1,4_N_5_67,3
4_N_4_68,4_N_5_69,28.73667801815746
4_N_3_66,4_N_5_69,8.754392970613159
4_N_2_64,4_N_5_69,3.220561193824372
4_N_1_1,4_N_5_69,1.631535560295781
1_I_3_1,4_N_5_69,3
1_V_1_1,4_N_5_69,3
4_N_5_1,4_N_6_69,32.77026773781488
4_N_4_74,4_N_6_69,10.571633050443436
4_N_3_73,4_N_6_69,3.220561193824372
4_N_2_74,4_N_6_69,1.1847782522425432
1_I_2_1,4_N_6_69,3
1_V_1_1,4_N_6_69,3
