pre,post,weight
1_I_18_1,2_T_1_1,0.6
1_V_3_1,2_T_1_1,0.6
1_I_25_1,2_T_1_1,0.6
1_V_4_1,2_T_1_1,0.6
1_I_57_1,2_T_1_1,0.6
1_V_6_1,2_T_1_1,0.6
1_I_74_1,2_T_1_1,0.6
1_V_8_1,2_T_1_1,0.6
1_I_99_1,2_T_1_1,0.6
1_I_135_1,2_T_1_1,0.6
1_V_9_1,2_T_1_1,0.6
1_I_139_1,2_T_1_1,0.6
1_V_10_1,2_T_1_1,0.6
1_I_145_1,2_T_1_1,0.6
1_I_146_1,2_T_1_1,0.6
1_I_157_1,2_T_1_1,0.6
1_V_13_1,2_T_1_1,0.6
1_I_203_1,2_T_1_1,0.6
1_V_15_1,2_T_1_1,0.6
1_I_215_1,2_T_1_1,0.6
1_V_16_1,2_T_1_1,0.6
1_I_216_1,2_T_1_1,0.6
1_I_251_1,2_T_1_1,0.6
1_V_20_1,2_T_1_1,0.6
1_I_273_1,2_T_1_1,0.6
1_V_22_1,2_T_1_1,0.6
1_I_288_1,2_T_1_1,0.6
1_I_302_1,2_T_1_1,0.6
1_V_23_1,2_T_1_1,0.6
1_I_313_1,2_T_1_1,0.6
1_I_319_1,2_T_1_1,0.6
1_V_24_1,2_T_1_1,0.6
1_I_3_1,2_T_1_2,0.6
1_V_1_1,2_T_1_2,0.6
1_I_11_1,2_T_1_2,0.6
1_I_13_1,2_T_1_2,0.6
1_I_15_1,2_T_1_2,0.6
1_V_2_1,2_T_1_2,0.6
1_I_16_1,2_T_1_2,0.6
1_I_18_1,2_T_1_2,0.6
1_V_3_1,2_T_1_2,0.6
1_I_28_1,2_T_1_2,0.6
1_V_4_1,2_T_1_2,0.6
1_I_41_1,2_T_1_2,0.6
1_I_47_1,2_T_1_2,0.6
1_I_57_1,2_T_1_2,0.6
1_V_6_1,2_T_1_2,0.6
1_I_65_1,2_T_1_2,0.6
1_V_7_1,2_T_1_2,0.6
1_I_67_1,2_T_1_2,0.6
1_I_70_1,2_T_1_2,0.6
1_I_81_1,2_T_1_2,0.6
1_V_8_1,2_T_1_2,0.6
1_I_90_1,2_T_1_2,0.6
1_I_91_1,2_T_1_2,0.6
1_I_94_1,2_T_1_2,0.6
1_I_99_1,2_T_1_2,0.6
1_I_104_1,2_T_1_2,0.6
1_I_109_1,2_T_1_2,0.6
1_I_130_1,2_T_1_2,0.6
1_V_9_1,2_T_1_2,0.6
1_I_141_1,2_T_1_2,0.6
1_V_10_1,2_T_1_2,0.6
1_I_143_1,2_T_1_2,0.6
1_I_146_1,2_T_1_2,0.6
1_I_149_1,2_T_1_2,0.6
1_V_11_1,2_T_1_2,0.6
1_I_155_1,2_T_1_2,0.6
1_V_13_1,2_T_1_2,0.6
1_I_156_1,2_T_1_2,0.6
1_I_159_1,2_T_1_2,0.6
1_I_168_1,2_T_1_2,0.6
1_I_180_1,2_T_1_2,0.6
1_V_14_1,2_T_1_2,0.6
1_I_184_1,2_T_1_2,0.6
1_I_199_1,2_T_1_2,0.6
1_V_15_1,2_T_1_2,0.6
1_I_203_1,2_T_1_2,0.6
1_I_206_1,2_T_1_2,0.6
1_V_16_1,2_T_1_2,0.6
1_I_214_1,2_T_1_2,0.6
1_I_225_1,2_T_1_2,0.6
1_V_18_1,2_T_1_2,0.6
1_I_229_1,2_T_1_2,0.6
1_I_238_1,2_T_1_2,0.6
1_I_253_1,2_T_1_2,0.6
1_V_20_1,2_T_1_2,0.6
1_I_272_1,2_T_1_2,0.6
1_V_22_1,2_T_1_2,0.6
1_I_276_1,2_T_1_2,0.6
1_I_280_1,2_T_1_2,0.6
1_I_288_1,2_T_1_2,0.6
1_I_313_1,2_T_1_2,0.6
1_V_23_1,2_T_1_2,0.6
1_I_318_1,2_T_1_2,0.6
1_I_17_1,2_T_1_3,0.6
1_V_2_1,2_T_1_3,0.6
1_I_39_1,2_T_1_3,0.6
1_V_4_1,2_T_1_3,0.6
1_I_45_1,2_T_1_3,0.6
1_I_61_1,2_T_1_3,0.6
1_V_6_1,2_T_1_3,0.6
1_I_77_1,2_T_1_3,0.6
1_V_8_1,2_T_1_3,0.6
1_I_79_1,2_T_1_3,0.6
1_I_97_1,2_T_1_3,0.6
1_I_108_1,2_T_1_3,0.6
1_I_115_1,2_T_1_3,0.6
1_I_123_1,2_T_1_3,0.6
1_V_9_1,2_T_1_3,0.6
1_I_212_1,2_T_1_3,0.6
1_V_16_1,2_T_1_3,0.6
1_I_261_1,2_T_1_3,0.6
1_V_21_1,2_T_1_3,0.6
1_I_269_1,2_T_1_3,0.6
1_V_22_1,2_T_1_3,0.6
1_I_296_1,2_T_1_3,0.6
1_V_23_1,2_T_1_3,0.6
1_I_1_1,2_T_1_4,0.6
1_V_1_1,2_T_1_4,0.6
1_I_4_1,2_T_1_4,0.6
1_I_5_1,2_T_1_4,0.6
1_I_6_1,2_T_1_4,0.6
1_I_12_1,2_T_1_4,0.6
1_I_33_1,2_T_1_4,0.6
1_V_4_1,2_T_1_4,0.6
1_I_51_1,2_T_1_4,0.6
1_V_5_1,2_T_1_4,0.6
1_I_53_1,2_T_1_4,0.6
1_I_59_1,2_T_1_4,0.6
1_V_6_1,2_T_1_4,0.6
1_I_72_1,2_T_1_4,0.6
1_V_7_1,2_T_1_4,0.6
1_I_78_1,2_T_1_4,0.6
1_V_8_1,2_T_1_4,0.6
1_I_80_1,2_T_1_4,0.6
1_I_82_1,2_T_1_4,0.6
1_I_85_1,2_T_1_4,0.6
