pre,post,weight
1_I_57_1,1_T_1_1,0.6
1_V_6_1,1_T_1_1,0.6
1_I_70_1,1_T_1_1,0.6
1_V_7_1,1_T_1_1,0.6
1_I_72_1,1_T_1_1,0.6
1_I_81_1,1_T_1_1,0.6
1_V_8_1,1_T_1_1,0.6
1_I_96_1,1_T_1_1,0.6
1_I_99_1,1_T_1_1,0.6
1_I_135_1,1_T_1_1,0.6
1_V_9_1,1_T_1_1,0.6
1_I_157_1,1_T_1_1,0.6
1_V_13_1,1_T_1_1,0.6
1_I_186_1,1_T_1_1,0.6
1_V_14_1,1_T_1_1,0.6
1_I_203_1,1_T_1_1,0.6
1_V_15_1,1_T_1_1,0.6
1_I_221_1,1_T_1_1,0.6
1_V_17_1,1_T_1_1,0.6
1_I_229_1,1_T_1_1,0.6
1_V_18_1,1_T_1_1,0.6
1_I_270_1,1_T_1_1,0.6
1_V_22_1,1_T_1_1,0.6
1_I_273_1,1_T_1_1,0.6
1_I_319_1,1_T_1_1,0.6
1_V_24_1,1_T_1_1,0.6
1_I_3_1,1_T_1_2,0.6
1_V_1_1,1_T_1_2,0.6
1_I_4_1,1_T_1_2,0.6
1_I_11_1,1_T_1_2,0.6
1_I_16_1,1_T_1_2,0.6
1_V_2_1,1_T_1_2,0.6
1_I_17_1,1_T_1_2,0.6
1_I_18_1,1_T_1_2,0.6
1_V_3_1,1_T_1_2,0.6
1_I_28_1,1_T_1_2,0.6
1_V_4_1,1_T_1_2,0.6
1_I_41_1,1_T_1_2,0.6
1_I_57_1,1_T_1_2,0.6
1_V_6_1,1_T_1_2,0.6
1_I_66_1,1_T_1_2,0.6
1_V_7_1,1_T_1_2,0.6
1_I_67_1,1_T_1_2,0.6
1_I_68_1,1_T_1_2,0.6
1_I_69_1,1_T_1_2,0.6
1_I_77_1,1_T_1_2,0.6
1_V_8_1,1_T_1_2,0.6
1_I_83_1,1_T_1_2,0.6
1_I_93_1,1_T_1_2,0.6
1_I_104_1,1_T_1_2,0.6
1_I_124_1,1_T_1_2,0.6
1_V_9_1,1_T_1_2,0.6
1_I_127_1,1_T_1_2,0.6
1_I_139_1,1_T_1_2,0.6
1_V_10_1,1_T_1_2,0.6
1_I_142_1,1_T_1_2,0.6
1_I_143_1,1_T_1_2,0.6
1_I_145_1,1_T_1_2,0.6
1_I_149_1,1_T_1_2,0.6
1_V_11_1,1_T_1_2,0.6
1_I_155_1,1_T_1_2,0.6
1_V_13_1,1_T_1_2,0.6
1_I_203_1,1_T_1_2,0.6
1_V_15_1,1_T_1_2,0.6
1_I_209_1,1_T_1_2,0.6
1_V_16_1,1_T_1_2,0.6
1_I_225_1,1_T_1_2,0.6
1_V_18_1,1_T_1_2,0.6
1_I_233_1,1_T_1_2,0.6
1_I_253_1,1_T_1_2,0.6
1_V_20_1,1_T_1_2,0.6
1_I_254_1,1_T_1_2,0.6
1_I_261_1,1_T_1_2,0.6
1_V_21_1,1_T_1_2,0.6
1_I_276_1,1_T_1_2,0.6
1_V_22_1,1_T_1_2,0.6
1_I_285_1,1_T_1_2,0.6
1_I_302_1,1_T_1_2,0.6
1_V_23_1,1_T_1_2,0.6
1_I_303_1,1_T_1_2,0.6
1_I_318_1,1_T_1_2,0.6
